USDOT Number,Legal Name,DBA Name,pv_apcant_id
2180330,AJMJ TRANSPORT LLC,,674436
794171,AJP LLC,,265439
2796736,AJP LLC,,853151
2898127,AJS EXPRESS LLC,,904011
2469651,AJS LOGISTICS LLC,,773149
3098471,AJT TRUCKING LLC,,1012569
,AJZ LOGISTICS INC,,861319
907562,AJZ TRANSPORT INC,,562799
2886925,AK HAMSTRA INC,,890501
3027157,AK TRANS LLC,,960796
3173344,AKA TRUCKING COMPANY,,1050760
2437620,AKAAL EXPRESS LLC,,758231
2392716,AKAL EXPRESS INC,,739666
,AKAL LOGISTICS BROKERAGE INC,,506303
2875091,AKAL SAHAI TRUCKING INC,,885659
1548749,AKAL TRANS INC,,490772
1548749,AKAL TRANSPORT INC,,361544
1980563,AKASHA TRUCKING INC,,617942
,AKAT BROKERAGE INC,,539058
2248752,AKAT BROKERAGE INC,,662443
143468,AKER PLASTICS CO INC,MAXX,450079
2155622,AKERS FLEET SERVICES LLC,,667460
3012454,AKG SYSTEMS INC,,953083
3127824,AKH TRUCKING LLC,,1025359
734108,AKINS EXCAVATING INC,,436976
3101288,AKKT TRUCKING LLC,,1012557
3137894,AKTT LOGISTICS LLC,,1030819
2148346,AL CRUMBLE,A R CRUMBLE TRUCKING,664371
294122,AL GIBSON,,33871
2422092,AL OMAR CORPORATION,,751700
175248,AL WANINGER TRUCKING CO INC,,433173
,AL'S ENTERPRISES,,631508
2797302,AL-DENI LLC,,853610
886399,ALA TRUCKING INC,,628729
2511010,ALAM TRANS INC,,791326
2884124,ALAM TRUCKING LLC,,893968
,ALAMAR FREIGHT BROKERS INC,,48918
960576,ALAMO TRAILS INC,,321877
1154452,ALAN BAHLMANN,,378461
2195685,ALAN BEHRENS,,679479
869587,ALAN H WENTZEL,,293216
318754,ALAN L COFFMAN,COFFMAN LOGGING,351501
898851,ALAN' S  TRUCKING  INC,,343719
561172,ALASKA USA VAN LINES LLC,,84809
,ALBERRING'S GARAGE INC,,47502
2220799,ALBERS BROKERAGE INC,,167743
2006420,ALBERT AND DOROTHY REED TRUCKING LLC,,691881
672255,ALBERT L CARR,R T TRUCKING,215957
514841,ALBERT LAWYER,L & L FARMS,46554
923141,ALBERT MURPHY & SON INC,,310007
369358,ALBERT R BIBIE,BIBIE TRUCKING,51609
1977002,ALBERT W ANDRES,ANDRES CONTRACTING,690942
2536652,ALCRO TRANSPORTATION INC,,787711
2248468,ALCS LLC,,657985
2724408,ALCS TRANSPORTATION LLC,,842147
1576263,ALDAST INC,,499187
2358184,ALDEA TRANSPORT INC,,724764
649513,ALDEN TRUCKING COMPANY  INC,WRIGHTWAY LOGISTICS,215430
3078035,ALDERMAN GROUP LLC,,988636
1416959,ALDO INC,ALAMO AUTO SERVICE,454054
286987,ALEBRO LLC,DAVIS WHOLESALE SUPPLY LLC,46975
2454302,ALEBRO LOGISTICS LLC,,765235
319965,ALEX BROWN,C & A TRUCKING,266426
3081087,ALEX K LANGENKAMP,LANGENKAMP,990570
,ALEX PRODUCTIONS INC,BGT TRUCKING,124056
2572857,ALEX TRANSPORTATION LLC,,818312
480085,ALEXANDER DISTRIBUTING INC,,86236
750162,ALEXANDER TRUCKING LLC,,258056
1584446,ALEXANDRE SAFTALOV,ALTAN,502183
1324857,ALEXANDRIA TRANSPORT SERVICE LLC,,425927
2243686,ALEXANDRIA TRANSPORT SERVICE LLC,,584998
,ALEXANDRIA TRUCK SERVICE INC,,164991
3076932,ALFA STAR TRUCKING INC,,988016
2354772,ALFAJOY LLC,,723227
625683,ALFRED  J DECKER,DECKER TRUCKING,208522
2861045,ALFRED LOGISTICS INC,,879277
1336681,ALFREDO BARAJAS,BARAJAS SERVICES,429650
3148506,ALFREDO RUBIO CABRERA,,1036654
2924171,ALFREDO TORRES,UNIQUE NATIONAL TRANSPORT,908610
,ALFREDO ZUNIGA,A TO Z TRANSPORT,855819
1613901,ALH AUTO TRANSPORT INC,,512402
1575375,ALH TRANSPORT LLC,,579538
888967,ALICE ERPELDING,ERPELDING ENTERPRIZES,338302
,ALICE L FISHER,,495986
2248736,ALICE PORTER,DOG GONE FREIGHT,662153
3071260,ALIED CAPITOL LOGISTICS LLC,,984815
1827371,ALIGS TOWING AND RECOVERY LLC,,599426
,ALISHA BRADLEY,ALL DAY TOWING,708303
2477931,ALIVE OUTSIDE LLC,ALIVE OUTSIDE,776562
920529,ALL 4 HIM INC,,310067
3090025,ALL A'S TRANSPORTATION,,1026423
2154708,ALL ACCESS EXPRESS INC,,666298
,ALL AMERICAN AUTO AND FLEET,,715254
2642719,ALL AMERICAN EXPEDITING,,840599
2232846,ALL AMERICAN EXPRESS LLC,,411482
2882572,ALL AMERICAN RV SERVICES LLC,,888635
2909406,ALL AMERICAN SPECIALIZED TRANSPORT LLC,,901722
475663,ALL AMERICAN TOWING & RECOVERY OF CARMEL INC,ALL AMERICAN TOWING & RECOVERY,78313
2554460,ALL AMERICAN TRANSPORTATION INC,,809081
2301033,ALL AMERICAN TRUCKING CORP,,703486
2149537,ALL AROUND LIMOUSINE AND PARTY BUS SERVICE LLC,ALL AROUND LIMOUSINE SERVICE,664700
1981438,ALL AROUND TOURS LLC,,618149
2566500,ALL AROUND TOWING AND RECOVERY LLC,DAVID LEWIS ALL AROUND TOWING AND RECOVERY LLC,815104
2326925,ALL AROUND TRANSPORTATION SERVICES LLC,,712392
2847624,ALL AUTO TOWING,,875589
2247837,ALL BETS LOGISTICS LLC,,647601
2056820,ALL BORDERS EXPEDITING LLC,,632148
2373073,ALL CITY TOWING INC,,732786
2236755,ALL DIRECTION SERVICES INC,,482012
1784682,ALL FREIGHT TRANSPORTATION LLC,,567412
2250446,ALL IN LOGISTICS LLC,,683680
2209474,ALL IN TRANSPORT LLC,,684235
1402460,ALL INTEGRITY TRUCKING LLC,,446027
3146926,ALL LINES LOGISTICS INC,,1080335
2474145,ALL MARINE SHIPPING LLC,,773669
1258013,ALL OCCASIONS PARTY RENTAL INC,,409176
2940232,ALL POINTS EXPEDITING LLC,,917275
2561894,ALL POINTS HAULAGE,,813337
738636,ALL POINTS LOGISTICS INC,,247744
2232102,ALL POINTS LOGISTICS INC,,396986
2443720,ALL PRO TOWING & RECOVERY LLC,ALL PRO TOWING & RECOVERY,763461
896502,ALL S TRANSPORT INC,,822454
1605705,ALL SEASONS TENT & PARTY RENTAL LLC,,788394
2480417,ALL SEASONS TRANSPORT LLC,,889532
3228504,ALL SIZE FREIGHT LLC,,1080599
2888388,ALL STAR LOGISTICSINC,ALL STAR LOGISTICSINC,891261
1349178,ALL STAR PAVING INC,ALL STAR PAVING,885163
3036538,ALL STAR TRUCK LINES USA INC,ALL STAR TRUCK LINES,965702
468833,ALL STAR TRUCKING INC,,67291
2451777,ALL STATE EXPRESS INC,,764142
,ALL STATES TRANSPORT CORPORATION,,91954
2214357,ALL TEMP BROKERAGE INC,,45947
395919,ALL TEMP TRANSPORT INC,,46476
,ALL TERRAIN MOTORSPORTS OF LOOGOOTEE LLC,,752639
2250114,ALL THAT JAZZ ENTERPRISES INC,,685356
2470721,ALL THE WAY LOGISTICS LLC,ATW LOGISTICS,799212
3042115,ALL THE WAY LLC,BIG GUYS MOVING,968588
2982648,ALL WEATHER TRUCKING COMPANY INC,,937831
3096717,ALL WEATHERS HAULING LLC,,1008500
2243448,ALL--FREIGHT ANYTIME LLC,,580862
1371978,ALL-AMERICAN EXPRESS LLC,,438095
2232781,ALL-INCLUSIVE TRUCKING INC,,410454
2215706,ALL-STAR BROKERAGE INC,,69769
513509,ALL-WAYS LEASING COMPANY INC,,24401
1163388,ALL-WAYS TRUCKING INC,,380571
2070507,ALLAN HOPKINS & JOE HIGGINS,H & H TRANSPORT,640467
2423735,ALLAN TRUCKING LLC,,752385
1651250,ALLAY LIMOUSINE LLC,ALLAY LIMOUSINE,528107
240951,ALLEGIANCE WIRE COMPANY INC,,22033
3141762,ALLEN & HAYES TRANSPORT LLC,,1032939
,ALLEN C HILL,HILLS TRUCK LINE,715163
718058,ALLEN COUNTY TOWING AND RECOVERY INC,,22807
119481,ALLEN DELBERT MEYER,A & L TRUCK LINE,115381
815706,ALLEN J YODER,AJ YODER TRUCKING,268050
845730,ALLEN L CLINE,C K TRUCKING,285199
,ALLEN RONALD LEE,,776511
1817433,ALLEN S POLSTON,,576930
2528496,ALLEN STURTZ,ABC TRUCKING,796917
,ALLEN TRUCK SALES INC,,462335
672597,ALLEN TRUCKING INC,,248380
2835657,ALLEN'S AUTO TRANSPORT INC,,868784
621794,ALLEN'S FOOD MART INC,,206941
,ALLEN'S TOWING LLC,,821353
3138187,ALLEN'S TRANSPORT INC,,1030997
566609,ALLENWOOD TRANSPORT INC,,87621
,ALLIE WALKE,A & W TRUCKING,116433
2971833,ALLIED ALLIANCE FORWARDING LLC,,493
2971834,ALLIED CONTINENTAL FORWARDING LLC,,491
770216,ALLIED CONTRACTORS INC,,657191
2971835,ALLIED DOMESTIC FORWARDING LLC,,494
,ALLIED EXPRESS CORPORATION,,49139
2971836,ALLIED FREIGHT FORWARDING LLC,,193
2222913,ALLIED FREIGHT FORWARDING LLC,,225627
2971837,ALLIED INTERMODAL FORWARDING LLC,,363
695763,ALLIED INTERSTATE TRANSPORTATION INC,,233247
2971839,ALLIED TRANSCONTINENTAL FORWARDING LLC,,492
2971840,ALLIED TRANSPORTATION FORWARDING LLC,,495
,ALLIED TRANSPORTATION INC,,167669
235079,ALLIED-SIGNAL TRANSPORTATION INC,,16890
2555488,ALLIMASE TRUCKING COMPANY LLC,,809638
914087,ALLISON TRANSPORTATION SYSTEMS INC,,380117
2251283,ALLONS TRANSMISSION & AUTO REPAIR LLC,TUBB'S TOWING,685569
3081159,ALLPOINT TRUCKING INC,,990417
1182806,ALLSTAR FREIGHT SERVICES LLC,,384851
3127971,ALLSTATE MOVING SOLUTIONS LLC,,1025454
2344659,ALLSTATE WRECKER SERVICE LLC,,718898
2496900,ALLSTATES TRUCKING SERVICES INC,,783270
,ALLU T AUTO TRANSPORTATION & LOGISTICS LLC,ATATL,950523
3007484,ALLU T AUTO TRANSPORTATION & LOGISTICS LLC,ATATL,950524
2875015,ALM EXPRESS LLC,,885616
2434956,ALOKAM INC,,757105
1938931,ALONDRA'S TRUCKING INC,,662647
2574747,ALP TRANSPORT INC,,819293
2989205,ALPHA AUTO TRANSPORT INC,,941075
,ALPHA BROTHERS CARRIER LLC,,1000717
3081525,ALPHA BROTHERS CARRIER LLC,,1000718
2386550,ALPHA EXPRESS INC,,755127
,ALPHA EXPRESS CORP,,266964
797169,ALPHA EXPRESS INC,,266491
2971850,ALPHA FREIGHT NETWORK INC,,846705
,ALPHA FUNERAL SERVICE LLC,BTS,496746
833348,ALPHA LEASING LLC,,663154
2493605,ALPHA MALE TRANSPORT INC,,781940
2020992,ALPHA OMEGA TRANSPORTATION LLC,,627476
2916183,ALPHA SHIPPING LLC,,904646
3097984,ALPHA TRANS INC,,1009245
3102087,ALPHA TRANSPORT LLC,,1011268
2638549,ALPHA TRANSPORT RV LLC,,838540
997233,ALPHA TRUCK LINES LLC,,392228
3158654,ALPHA TRUCKING LLC,,1042302
3106411,ALPHA-1 EXPEDITE LLC,,1013867
3191542,ALPHALOGIX LLC,ALPHALOGIX,1064996
,ALPINE FREIGHT FORWARDING INC,,644837
3235389,ALPINE MOUNTAIN WATER INC,,1084338
3235389,ALPINE MOUNTAIN WATER INC,,1084339
1968125,ALPINE TRANSPORT CO,,644024
2215524,ALRITE TRANSPORT CORP,,66516
1277014,ALSTAR MATERIAL TRANSFER INC,,424348
3171180,ALSTEN LOGISTICS INC,,1049559
3215408,ALTA CARRIERS INC,,1073423
2083277,ALTAMIRA TRUCKING COMPANY,,746347
3133009,ALTERNATE TRUCKING CO,,1028138
2390708,ALTERNATIVE AG SERVICES AND CONSULTANTS LLC,,797811
2278967,ALTERNATIVE FUEL SOLUTIONS LLC,,1018064
1583111,ALTERNATIVE LOGISTICS INC,MADDOX EXPRESS,501730
2237825,ALTERNATIVE TRUCK BROKERAGE CORPORATION,,498687
297572,ALTOM TRANSPORT INC,,30197
570960,ALTON TRANSPORTATION CO INC,,87923
,ALTRA TRANSPORT INC,,234298
600949,ALTRA TRANSPORT INC,,89782
134286,ALTRESS TRUCKING INC,,57452
3214528,ALTSHUTTLE LLC,,1072897
267918,ALUM-A-CRAFT INC,,153605
254032,ALUMINUM TRANSPORT INC,,20835
,ALVA THOMAS MANNING,PHOENIX TRANSPORTERS,96358
3019290,ALVERN C GARTH ENTERPRISE LLC,BROOKS AND SONS LOGISTICS,956697
731041,ALVIN DALE HAZELWOOD,A HAZELWOOD TRUCKING,287884
1601067,ALVIN GRABER,,510388
1956498,ALVIN MCDANIEL,CRIDER MOVING & STORAGE,59602
914202,ALVIN P SCHALK JR,SCHALKS TRUCKING,366370
1329628,ALVIN S PILOTTE JR,A P TRUCKING,427340
3216071,ALVIN TRUCKING LLC,,1073786
2097693,ALVORD TRANSPORT COMPANY,,648639
1130468,ALWAYS HAULIN INC,,415188
3209192,ALWAYS MOVING FORWARD TRANSPORTATION INC,,1069802
238703,ALWAYS TRANSIT INC,,124960
2598375,ALWAYS XPRESS INC,,831545
2579778,ALWC NATIONAL INC,,822009
765168,ALYEA TRUCKING INC,,302558
2156868,AM FREIGHTLINE LLC,,666946
2521458,AM-PM TOWING LLC,,799961
498721,AM/PM EXPRESS INC,,72869
438094,AMA TRUCKING INC,,61269
2474318,AMANDA STEELE,BLADERUNNER TRANSPORT,776375
2267202,AMANDEEP CARRIER LLC,,691734
2502434,AMAR-DEEP TRANS INC,,785650
1837997,AMARJIT GILL,GILL TRUCKING,583477
1609116,AMARJIT S GOSAL,A G TRUCKING,635889
2823622,AMAZING RIDES LLC,,861889
3209898,AMB ALLIANCE LLC,,1070205
1741485,AMB CARRIERS INC,,554435
2148651,AMB GROUP INC,,606075
2565022,AMBASSADOR AUTO TRANSPORT LLC,,814361
,AMBASSADOR ENTERPRISES INC,,69340
2087498,AMBASSADOR TOWING AND AUTO LLC,,648911
2218306,AMBASSADOR TRAVELINC,,125763
2549056,AMBAY LOGISTICS INC,,806405
2475627,AMBER TRUCKING INC,,810986
1523590,AMBIENCE LIMOUSINE INC,,825871
1745093,AMBREE TRUCKING LLC,,555621
2950289,AMD LOGISTICS LLC,,922011
3013261,AMEER HASSAEN,MIDWEST TOWING AND TRANSPORTATION,953482
3232555,AMEN TRANSPORT  LLC,,1082828
,AMEREX FORWARDERS INC,,698
3048517,AMERI TRUCKS INC,,972058
2242703,AMERI-HAUL LOGISTIC BROKERS LLC,,569959
3148791,AMERICA-CANADA LOGISTICS INC,,1036820
1949845,AMERICAN ASSET RECOVERY SPECIALISTS LLC,,611997
649061,AMERICAN AUTO HIKERS INC,,216543
3127206,AMERICAN AUTOMOTIVE CHAPERONES,,1025019
2269168,AMERICAN BROKERAGE LLC,,689182
529171,AMERICAN BULK CARRIER INC,,50062
641612,AMERICAN BULK CARRIERS INC,,208280
1604101,AMERICAN BULK LLC,,592990
337507,AMERICAN BUSLINES INC,,42301
2224515,AMERICAN CARGO TRANSIT INC,,259385
2986811,AMERICAN CARRIER INC,,939897
270958,AMERICAN CARRIERS INC,,146305
243611,AMERICAN COACH TRAVEL INC,,19505
202543,AMERICAN CONCORD LINES INC,,126233
473011,AMERICAN CONTAINERS INC,,436322
3072933,AMERICAN DEMOLITION AND SALVAGE LLC,,1007266
3023621,AMERICAN EAGLE CARRIER INC,,958928
268426,AMERICAN EAGLE EXPRESS CO INC,,31174
1576133,AMERICAN EAGLE LOGISTICS LLC,,499154
2406119,AMERICAN EAGLE TRANSPORT LLC,,745101
,AMERICAN EAGLE WORLDWIDE FORWARDERS INC,,614
1740737,AMERICAN ENTERPRISE GROUP INC,,554169
533157,AMERICAN ENVIRONMENTAL CORPORATION,AMERICAN INDUSTRIAL SERVICES,291173
2780391,AMERICAN EX-PRESS LLC,,847370
2355764,AMERICAN EXPEDITERS,,723704
642991,AMERICAN EXPEDITING SERVICES INC,,210914
1437864,AMERICAN FREIGHT CARRIERS INC,,457443
1818590,AMERICAN FREIGHT INC,AMERICAN TRANS,577269
2950224,AMERICAN FREIGHT LOGISTICS INC,,921977
,AMERICAN FREIGHT SOLUTIONS INC,,1049140
3170502,AMERICAN FREIGHT SOLUTIONS INC,,1071057
1706293,AMERICAN GLOBAL MANAGEMENT LLC,,542568
2800670,AMERICAN GROUP TRUCKING INC,,889176
2476150,AMERICAN HAWK INC,,774562
813661,AMERICAN HERITAGE TRAILS LLC,,388245
1802711,AMERICAN HERITAGE TRANSPORT LLC,,572497
190791,AMERICAN HIGHWAY CARRIERS OF INDIANA INC,,19116
,AMERICAN HIGHWAY CARRIERS INC,,123746
,AMERICAN HIGHWAY CARRIERS INC,,168674
2456191,AMERICAN HOTSHOT TRANSPORT LLC,AHT,774277
2236054,AMERICAN IDLE LOGISTICS INC,,469523
1549281,AMERICAN INDY EXPRESS INC,,490964
125559,AMERICAN INTERNATIONAL DRIVEWAY OF INDIANA INC,,9098
2937542,AMERICAN LOGISTICS INC,,915484
3096421,AMERICAN LUXURY MOTORS INC,JBJC EXPRESS LTD,1008316
2507800,AMERICAN MIDWEST MOTOR FREIGHT LLC,,788399
733045,AMERICAN OAK PRESERVING CO INC,,576648
2839189,AMERICAN QUALITY LLC,,870839
125558,AMERICAN RED BALL TRANSIT COMPANY INC,,1543
345518,AMERICAN ROAD LINES INC,,60903
1815800,AMERICAN ROADWAYS INC,,632722
1696440,AMERICAN SAFETY LOGISTICS LLC,,539206
2966323,AMERICAN STRONG COURIER SERVICES,,930700
2924194,AMERICAN TRADING AND DISTRIBUTION LLC,,908619
,AMERICAN TRANSFER & STORAGE INC,,106056
2006779,AMERICAN TRANSPORT AND RECOVERY LLC,,624248
241806,AMERICAN TRANSPORT SYSTEM INC,,144989
1585776,AMERICAN TRANSPORT XPRESS INC,,502649
249019,AMERICAN TRANSPORT INC,,22788
2230175,AMERICAN TRANSPORTATION AND LOGISTICS LLC,,360706
,AMERICAN TRANSPORTATION COMPANY INC,,157395
1295083,AMERICAN TRANSPORTATION LLC,,416590
1722917,AMERICAN TRUCK LINES INC,,548068
579845,AMERICAN TRUCKING INC,,97682
2941129,AMERICAN VETERAN TRUCKING INC,,917466
2569069,AMERICAN VETERANS TOWING LLC,,816371
2229372,AMERICANA LOGISTICS INC,,346645
344457,AMERICANA INC,,44137
561412,AMERICAS QUALITY VAN LINES LLC,,84814
2538207,AMERICAS TRANSPORT LLC,,801375
2443043,AMERICORE,,756930
,AMERICORE INDUSTRIES INC,,568116
2129589,AMERIJA LOGISTICS LLC,,671582
2204516,AMERIKING AUTO SERVICES LLC,,682472
1783752,AMERIPINA LLC,,577862
1799204,AMETI LIMITED LLC,,571467
1986188,AMG CONTRACTING SERVICES INC,,619359
1968575,AMICK TRUCKS LLC,,557742
939289,AMIE'S TRUCKING INC,,315320
3079737,AMIR TRUCKING LLC,,989599
3226227,AMISH TAXI LLC,,1079644
3158889,AMJ TRUCKING LLC,,1042423
708908,AMJAD TRUCKING LLC,,885724
1311125,AMJET INC,,440065
,AMK TRANSPORTATION LLC,,718015
1424760,AMKI TRUCKING INC,,597402
2896871,AMLINK TRANSPORTATION SOLUTIONS LLC,,895229
1058197,AMO TRUCKING INC,,393399
1193412,AMORY J WILLIAMS,PERRY'S 24HR TOWING,415099
,AMOS M HILTY,,468388
2470772,AMOS RABER JR,,772245
,AMOS TRUCKING LLC,,626687
2480683,AMP EXPRESS INC,,776495
2449611,AMP TRUCKING INC,,763222
1519087,AMPRO LLC,,483247
,AMRAP TRANSPORT LLC,,1022475
894978,AMRIK BAL,DILS TRUCKING COMPANY,300457
1617484,AMRIT FREIGHT TRANSPORT INC,,513552
2858569,AMRIT FREIGHT TRUCKING INC,,877907
2272718,AMRITPAL SINGH,MEET GURU CARRIERS,693881
430545,AMS COMPANY,,57997
2538966,AMS TOWING SERVICE & REPAIR LLC,,801734
1686931,AMSTAR LLC,,535552
2928456,AMT TRUCKING LOGISTICS LLC,AMT LOGISTICS LLC,910864
,AMTRAIL TRANSPORTATION INC,,92670
1797612,AMTURF ENTERPRISES LLC,,609707
3000730,AMU4513 INC,,946984
3065605,AMUN-RA TRANSPORTATION LLC,,981622
3065605,AMUN-RA TRANSPORTATION LLC,,981623
2595933,AMW TRANSPORTS LLC,,830315
2227987,AMY BLASCHKE JOANNA BLASCHKE AND STEVE BLASCHKE,BLASCHKE FREIGHT MANAGEMENT,322911
2841993,AMY L GUTHRIE,ALG TRUCKING,879546
2558359,AN CARRIER INC,,811031
1934819,AN TRANSPORT LLC,,608496
2971881,ANAHEIM MOVING SYSTEMS LLC,WORLD CLASS VAN LINES,412
805410,ANAHEIM MOVING SYSTEMS LLC,WORLD CLASS VAN LINES,269671
3026793,ANAND EXPRESS LLC,,960603
3024889,ANANDPUR TRANS INC,,959639
1928261,ANANT & G LLC,,637224
453578,ANATOL LUCENKO,TRIDENT MOTOR CARRIER,59081
3024501,ANBRO LOGISTICS AND WAREHOUSING,ANBRO LOGISITICS AND WAREHOUSING,959429
3194318,ANCELET TERMILUS,NC TRANSPORT,1062151
993856,ANCHOR CARTAGE LLC,,540939
2418949,ANCHOR TRANSPORT COMPANY,ATC,750388
998445,ANCIL P HAMPTON,A P H TRUCKING,331598
2529269,AND STILL,,797257
790076,ANDERSON FRALEY & SHELIA FRALEY,A & S TRANSPORTATION,263915
844333,ANDERSON TRANSPORT INC,,319021
1636156,ANDERSON TRUCK LINES INC,,520106
3110705,ANDRE POTTER,WE HAUL,1016177
1038030,ANDRE SASSEVILLE,ANDRE'S TRANSPORT,349200
584775,ANDREA J SHAW,FEATHER CREEK TRUCKING,95185
,ANDRES VALTIERRA,CONSTANT BROKERAGE,658871
,ANDRETTI SPORTS MARKETING,,804133
857599,ANDREW  H  ZIMMERMAN,ZIMMERMAN  TRANSPORT,288943
,ANDREW A BRADLEY,BRADLEY TRUCKING,309678
1347693,ANDREW A ROSS SR,ROSS TRANSPORT,431570
2461804,ANDREW ALLEN STORRS,,768657
263989,ANDREW B LEWIS,LEWIS FARMS,25204
900314,ANDREW D MULZER,AD MULZER TRUCKING,302480
2259771,ANDREW DAWSON,DAWSON EXPEDITING,688872
1593335,ANDREW DOUGLAS THOMAS,AIM TRANSPORT SERVICES,505787
,ANDREW J HETRICK,HETRICK ENTERPRISES,505681
2234865,ANDREW J LEGRAND,AJ EXPRESS BROKER SERVICE,448425
386590,ANDREW J ESCHBACHER,ESCHBACHER FARMS,214250
710176,ANDREW J LEGRAND,LEGRAND TRUCKING,291182
795359,ANDREW L STONE,A & A TRUCKING,277316
1718897,ANDREW P GRIDLEY,GRIDLEY TRUCKING,547435
2324921,ANDREW S CURTS,CURTS HAULING,711623
2207344,ANDREW SWANGO,SWANGO TRUCKING,683460
,ANDREW SZALAJKO,,55492
291034,ANDREW WILLIAMS,ANVE'S TRANSPORTATION,149547
847853,ANDREW YOUNG,ANDREW YOUNG TRUCKING,311631
,ANDREWS TRANSPORTATION LLC,,648247
2096576,ANDREWS TRANSPORTATION LLC,,648248
241431,ANDREWS' LIVESTOCK & GRAIN INC,,22075
965069,ANDRZEJ GRYFIK,GRYFIK TRANSPORT,345522
2404681,ANDY BOSEO TRUCKING LLC,,744546
2061870,ANDY FEDERER TRUCKING LLC,,661210
1740888,ANDY FREIGHT INC,,554215
1041601,ANDY LLOYD,LLOYD CONSTRUCTION SERVICES,410494
2512560,ANDY NATIONAL,,789814
3094181,ANGEL AND SON'S TOWING LLC,,1007021
2220864,ANGEL EXPRESS INC,,169369
2392418,ANGEL HARRIS & EVERTT HARRIS,HARRIS TRUCKING,739561
2182915,ANGEL M SIEVERS,ANGEL SIEVERS TRUCKING,675344
351269,ANGEL TRANSIT OF INDIANAPOLIS INC,,169614
1025436,ANGEL TRANSPORT LLC,,344303
770550,ANGEL TRANSPORTATION SERVICES INC,,256777
,ANGELA AND RICHARD BURDINE,ARB,921363
1101268,ANGELA SANCHEZ,A R T S TRANSPORT,367095
2060743,ANGELIA BUTLER,JRS JUNIOR NON MEDICAL TRANSPORTATION,664938
2465440,ANGELIKA LAMBERT,LAMBERT TRANSPORTATION,771220
938370,ANGELS WINGS EXPEDITED LLC,,315938
2786754,ANGELS WINGS TRANSPORT LLC,,848427
423552,ANGLE TRUCKING LLC,,58393
1090072,ANGOLA COLLISION SERVICES INC,,364220
1256883,ANITA L BRINKLEY,TWO WINGS TOURS,674325
658775,ANITA LEE,,355576
1635015,ANKER ENTERPRISES LLC,,617562
707881,ANN ELLERMAN,,360920
,ANNA MARY LEONARD,LEONARD LOGISTICS,546233
2940080,ANNCOR CORP,,916864
,ANNE BREEDEN,,652554
3106522,ANOTHER CHANCE TRUCKING INC,,1013931
3097558,ANOTHER LOAD LLC,,1008989
2459318,ANSH TRUCKING LLC,LUCKY TRANSPORT,767393
,ANTHONY BELLE,A & K AUTO RECOVERY,635578
1632784,ANTHONY BETZ,BETZ TRUCKING,534406
1628441,ANTHONY BRADEN,BRADENS TRUCKING,517142
1408820,ANTHONY D HOLEMAN,ADH TRUCKING,850168
2192529,ANTHONY EVANS,K-CALB TRANSPORTATION,678393
365726,ANTHONY HILL,,207010
2487274,ANTHONY J LOSEKAMP,A J LOSEKAMP TRUCKING,779275
727700,ANTHONY J BOOHER,BOOHER FARMS TRUCKING,314885
359450,ANTHONY K KUCKUCK,KUCKUCK TRUCKING,41340
1018148,ANTHONY KOCHER,W HARRISON TRANSFER & RIGGING,383694
943910,ANTHONY L GERBER,DAB TRANSPORT,332635
173413,ANTHONY M ZAKRZEWSKI,,34447
,ANTHONY PIERCE,ANTHONY PIERCE DELIVERY SERVICES,614218
,ANTHONY R DOWNEN,,979835
,ANTHONY R ERB & ROBERT G ERB,ERB TRUCKING,350768
2440009,ANTHONY ROBERTS,SUPERIOR TRUCKING SERVICE,759247
2901304,ANTHONY SCHEERER,SCHEERER TRUCKING,897656
717236,ANTHONY W DOMIRE SR,EAST ANGOLA TRAILER & STORAGE,241093
752924,ANTHONY W JACKSON,MIKE'S TOWING,254682
1566688,ANTHONY WOODS,DOUBLE J TRUCKING,822051
2215230,ANTLER CORPORATION,,61840
2233583,ANTLER TRANSPORT INC,,425544
1415574,ANY OCCASION CHARTERS INC,,449764
1214997,ANYTHING GOES INC,ANYTHING GOES,395068
2399013,ANYTIME TOWING AND RECOVERY OF MICHIANA INC,,742223
2268819,ANYTIME TRANSPORT LLC,,692384
,AOB ENTERPRISES LLC,53 TRANSPORT|53 TRANSIT,1059335
